Бренд,Код товара,Наименование товара,Категория1,Категория2,Категория3,Категория4,Сегмент,Цена закупки товара,letu.ru,iledebeaute.ru,rivegauche.ru,Ozon,Wildberries,MagnitMarket,Megamarket,lamoda.ru,tsum.ru,visagehall.ru,Наценка,Уровень_правила,Цена_до_скидки,Мин_цена_конкурента,Кто_минимум,Цена_мин_маржа10,Цель_цена_минимум_рынка,Можно_быть_минимумом_с_маржой10,Рекоменд_цена,Рекоменд_скидка
Vivienne Sabo,3233500002,"Vivienne Sabo Подводка д/глаз Cabaret Premiere 01 0,5мл",Макияж,Глаза,Подводки,Маркеры,Массмаркет,242,364.0,346.0,315.0,245.0,331.0,,,372.0,,364.0,0.59,brand,384.78,245.0,Ozon,268.88888888888886,244.0,False,268.88888888888886,0.30118798043326345
Vivienne Sabo,3233100006,"Vivienne Sabo Карандаш д/глаз Merci 309 1,4гр",Макияж,Глаза,Карандаш для глаз,,Массмаркет,153,155.0,,,,,,278.0,,,,0.85,brand_cat3,283.05,155.0,letu.ru,170.0,154.0,False,170.0,0.3993993993993994
Clarins,19000360003,CLARINS Рефил крема д/лица дневного Extra-Firming SPF15 50мл,Уход,Уход за лицом,Основной уход,Крем для лица,Люкс,2507,,,3285.0,,,,,,,3251.0,1.03,brand,5089.210000000001,3251.0,visagehall.ru,2785.5555555555557,3250.0,True,3250.0,0.3613940081073488
Vivienne Sabo,19000128412,Vivienne Sabo Блеск д/губ Tropique 20 3мл,Макияж,Губы,Блеск для губ,,Массмаркет,187,288.0,256.0,271.0,197.0,261.0,,190.0,202.0,,,0.38,brand_cat3,258.06,190.0,Megamarket,207.77777777777777,189.0,False,207.77777777777777,0.19484702093397743
Vivienne Sabo,19000023590,Vivienne Sabo Помада д/губ Nude Createur 15 4гр,Макияж,Губы,Помада для губ,,Массмаркет,190,275.0,269.0,253.0,194.0,208.0,258.0,226.0,,,262.0,0.59,brand,302.09999999999997,194.0,Ozon,211.11111111111111,193.0,False,211.11111111111111,0.30118798043326334
Vivienne Sabo,19000128407,Vivienne Sabo Блеск д/губ Tropique 15 3мл,Макияж,Губы,Блеск для губ,,Массмаркет,128,176.0,191.0,183.0,143.0,131.0,193.0,141.0,186.0,,,0.38,brand_cat3,176.64,131.0,Wildberries,142.22222222222223,130.0,False,142.22222222222223,0.19484702093397732
Vivienne Sabo,19000312962,"Vivienne Sabo Румяна д/лица матовые Macaron 02 4,1гр",Макияж,Глаза,Тени для век,Прессованные тени,Массмаркет,160,228.0,216.0,206.0,182.0,164.0,,,,,,0.59,brand,254.39999999999998,164.0,Wildberries,177.77777777777777,163.0,False,177.77777777777777,0.30118798043326345
Vivienne Sabo,19000023582,Vivienne Sabo Помада д/губ Nude Createur 07 4гр,Макияж,Губы,Помада для губ,,Массмаркет,198,,293.0,265.0,203.0,225.0,282.0,,228.0,,274.0,0.59,brand,314.82,203.0,Ozon,220.0,202.0,False,220.0,0.30118798043326345
Clarins,19000360004,CLARINS Эмульсия д/лица Extra-Firming 100мл,Уход,Уход за лицом,Основной уход,Эмульсии,Люкс,7159,,,9378.0,9821.0,,,,,,9466.0,1.03,brand,14532.770000000002,9378.0,rivegauche.ru,7954.444444444444,9377.0,True,9377.0,0.3547685678642132
Clarins,19760334995,Clarins Тоник д/очень сухой и чувствительной кожи успокаивающий 200мл,Уход,Уход за лицом,Тоники-лосьоны-тонеры,,Люкс,945,,1260.0,,1407.0,,,,1407.0,1830.0,1239.0,0.85,brand_cat3,1748.25,1239.0,visagehall.ru,1050.0,1238.0,True,1238.0,0.29186329186329185
Vivienne Sabo,19000023603,Vivienne Sabo Тушь д/ресниц Metamourphoses Romantique 01 9мл,Макияж,Глаза,Тушь для ресниц,Тушь,Массмаркет,240,,,,,,,247.0,,,,0.41,brand_cat3,338.4,247.0,Megamarket,266.6666666666667,246.0,False,266.6666666666667,0.21197793538219056
Vivienne Sabo,3234600001,"Vivienne Sabo Карандаш-каял д/глаз гелевый Virtuose 01 1,1гр",Макияж,Глаза,Карандаш для глаз,,Массмаркет,310,476.0,437.0,438.0,320.0,332.0,450.0,532.0,,,,0.85,brand_cat3,573.5,320.0,Ozon,344.44444444444446,319.0,False,344.44444444444446,0.3993993993993994
Clarins,19000359927,CLARINS Тональный крем д/лица Skin Illusion 100.5W 30мл,Макияж,Лицо,Тональные основы,Жидкие тональные основы,Люкс,1924,,,2536.0,,,,,,,2647.0,1.03,brand,3905.7200000000003,2536.0,rivegauche.ru,2137.777777777778,2535.0,True,2535.0,0.35095193715883377
Vivienne Sabo,3232400001,"Vivienne Sabo Карандаш д/глаз гелевый Virtuose 601 1,5гр",Макияж,Глаза,Карандаш для глаз,,Массмаркет,365,539.0,542.0,523.0,416.0,416.0,377.0,537.0,406.0,,,0.85,brand_cat3,675.25,377.0,MagnitMarket,405.55555555555554,376.0,False,405.55555555555554,0.3993993993993994
Clarins,19000149507,Clarins Молочко д/душа Eau Extraordinaire 200мл,Уход,Уход за телом,Для ванны и душа,Гель для душа,Люкс,954,,1380.0,1259.0,1421.0,,,,1278.0,1972.0,1339.0,1.03,brand,1936.6200000000003,1259.0,rivegauche.ru,1060.0,1258.0,True,1258.0,0.3504146399396888
Vivienne Sabo,19000388382,"Vivienne Sabo Подводка д/глаз Linerextase 01 0,5мл",Макияж,Глаза,Подводки,Жидкая подводка,Массмаркет,383,574.0,560.0,548.0,396.0,,,,,,,0.59,brand,608.9699999999999,396.0,Ozon,425.55555555555554,395.0,False,425.55555555555554,0.30118798043326334
Vivienne Sabo,19000398450,"Vivienne Sabo Тени д/век Hypnostique 01 0,6гр",Макияж,Глаза,Тени для век,,Массмаркет,231,319.0,314.0,306.0,239.0,253.0,,,,,,0.59,brand,367.28999999999996,239.0,Ozon,256.6666666666667,238.0,False,256.6666666666667,0.30118798043326334
Clarins,15023700008,Clarins Крем д/шеи и декольте регенерирующий омолаживающий Extra-Firming Cou & Decollete 75мл,Уход,Уход за лицом,Основной уход,Крем для лица,Люкс,4477,,5969.0,6154.0,6132.0,,,,5915.0,8934.0,,1.03,brand,9088.310000000001,5915.0,lamoda.ru,4974.444444444444,5914.0,True,5914.0,0.3492739574244277
Vivienne Sabo,19000023592,Vivienne Sabo Помада д/губ Nude Createur 17 4гр,Макияж,Губы,Помада для губ,,Массмаркет,138,200.0,194.0,175.0,156.0,171.0,205.0,143.0,,,200.0,0.59,brand,219.42,143.0,Megamarket,153.33333333333334,142.0,False,153.33333333333334,0.30118798043326334
Clarins,19000360005,CLARINS Крем д/лица ночной Extra-Firming 50мл,Уход,Уход за лицом,Основной уход,Крем для лица,Люкс,6682,,,8848.0,8858.0,,,,,,9234.0,1.03,brand,13564.460000000001,8848.0,rivegauche.ru,7424.444444444444,8847.0,True,8847.0,0.3477808921254514
Clarins,19000359930,CLARINS Тональный крем д/лица Skin Illusion 105N 30мл,Макияж,Лицо,Тональные основы,Жидкие тональные основы,Люкс,2012,,,2665.0,,,,,,,2777.0,1.03,brand,4084.3600000000006,2665.0,rivegauche.ru,2235.5555555555557,2664.0,True,2664.0,0.34775582955469164
Clarins,19000266761,Clarins Лосьон д/устранения мелких несовершенств My Clarins 13мл,Уход,Уход за лицом,Тоники-лосьоны-тонеры,,Люкс,559,,,741.0,,,,,817.0,,774.0,0.85,brand_cat3,1034.15,741.0,rivegauche.ru,621.1111111111111,740.0,True,740.0,0.2844364937388194
Vivienne Sabo,3234600002,"Vivienne Sabo Карандаш-каял д/глаз гелевый Virtuose 02 1,1гр",Макияж,Глаза,Карандаш для глаз,,Массмаркет,310,458.0,472.0,432.0,323.0,324.0,421.0,546.0,,,,0.85,brand_cat3,573.5,323.0,Ozon,344.44444444444446,322.0,False,344.44444444444446,0.3993993993993994
