Сегмент,SKU,Can_be_min,Avg_recommended_discount,Median_recommended_discount,Share_can_be_min
Массмаркет,241,88,0.2502386807608352,0.3005612431959839,0.3651452282157676
Люкс,442,437,0.2093049280531105,0.19042467150032982,0.9886877828054299
